"latitude","longitude","state","county"
44.346721,-91.836481,"WI","Buffalo"
38.04141,-85.581303,"KY","Bullitt"
32.352307,-81.6571,"GA","Bulloch"
32.092808,-85.704649,"AL","Bullock"
35.628016,-82.556751,"NC","Buncombe"
41.43043,-89.240006,"IL","Bureau"
33.05387,-81.684489,"GA","Burke"
35.689483,-81.538697,"NC","Burke"
48.837753,-102.283897,"ND","Burke"
47.212951,-100.548434,"ND","Burleigh"
30.526184,-96.658407,"TX","Burleson"
40.049948,-74.917061,"NJ","Burlington"
30.74431,-98.08625,"TX","Burnet"
45.972603,-92.292996,"WI","Burnett"
41.792415,-96.376462,"NE","Burt"
31.642713,-86.734317,"AL","Butler"
42.697108,-92.7981,"IA","Butler"
37.995545,-96.661017,"KS","Butler"
37.279564,-86.670181,"KY","Butler"
36.778764,-90.440688,"MO","Butler"
41.332034,-96.949369,"NE","Butler"
39.547254,-84.599698,"OH","Butler"
40.885861,-79.934048,"PA","Butler"
39.409669,-121.406274,"CA","Butte"
43.634236,-113.213308,"ID","Butte"
44.93037,-103.87313,"SD","Butte"
33.237156,-83.898277,"GA","Butts"
35.371633,-80.562141,"NC","Cabarrus"
38.379347,-82.264954,"WV","Cabell"
41.816936,-111.998197,"UT","Cache"
32.774283,-93.883624,"LA","Caddo"
35.203206,-98.357423,"OK","Caddo"
38.092294,-120.535316,"CA","Calaveras"
30.233355,-93.214903,"LA","Calcasieu"
37.201173,-87.988003,"KY","Caldwell"
32.055505,-92.164903,"LA","Caldwell"
39.598991,-93.828565,"MO","Caldwell"
35.994554,-81.726617,"NC","Caldwell"
29.889187,-97.573078,"TX","Caldwell"
44.359629,-72.086586,"VT","Caledonia"
33.759768,-85.792328,"AL","Calhoun"
33.516751,-92.582269,"AR","Calhoun"
30.553171,-85.171315,"FL","Calhoun"
31.47718,-84.699156,"GA","Calhoun"
42.279298,-94.465144,"IA","Calhoun"
39.004588,-90.653455,"IL","Calhoun"
42.119031,-85.214348,"MI","Calhoun"
33.856165,-89.303214,"MS","Calhoun"
33.570316,-80.708141,"SC","Calhoun"
28.525453,-96.694818,"TX","Calhoun"
38.828582,-81.132151,"WV","Calhoun"
32.16742,-99.221055,"TX","Callahan"
38.887421,-91.768887,"MO","Callaway"
36.690186,-88.283872,"KY","Calloway"
44.020561,-88.185906,"WI","Calumet"
38.444727,-76.533026,"MD","Calvert"
43.528155,-114.730694,"ID","Camas"
40.658721,-78.794582,"PA","Cambria"
30.804684,-81.627717,"GA","Camden"
38.024609,-92.744846,"MO","Camden"
36.389961,-76.199736,"NC","Camden"
39.908663,-75.010307,"NJ","Camden"
29.791099,-93.437979,"LA","Cameron"
41.417566,-78.204927,"PA","Cameron"
26.052155,-97.514466,"TX","Cameron"
32.989797,-94.936022,"TX","Camp"
38.921584,-84.374584,"KY","Campbell"
45.833733,-100.020048,"SD","Campbell"
36.302779,-84.20298,"TN","Campbell"
37.242503,-79.109789,"VA","Campbell"
44.377283,-105.550237,"WY","Campbell"
35.547575,-98.151236,"OK","Canadian"
32.39938,-82.048201,"GA","Candler"
35.933832,-86.112561,"TN","Cannon"
43.630795,-116.717598,"ID","Canyon"
37.341398,-89.611016,"MO","Cape Girardeau"
39.112027,-74.731427,"NJ","Cape May"
45.161913,-109.158349,"MT","Carbon"
40.813281,-75.59202,"PA","Carbon"
39.567883,-110.650901,"UT","Carbon"
41.538075,-106.921959,"WY","Carbon"
42.813756,-111.52793,"ID","Caribou"
36.789033,-89.009178,"KY","Carlisle"
46.556833,-92.720097,"MN","Carlton"
38.740562,-75.958683,"MD","Caroline"
38.008401,-77.260353,"VA","Caroline"
36.431111,-93.699392,"AR","Carroll"
33.587706,-85.123883,"GA","Carroll"
41.957228,-94.735083,"IA","Carroll"
41.994827,-89.877636,"IL","Carroll"
40.500141,-86.507065,"IN","Carroll"
38.663866,-85.098906,"KY","Carroll"
39.499102,-76.910108,"MD","Carroll"
39.410971,-93.431928,"MO","Carroll"
33.65497,-90.053958,"MS","Carroll"
43.694809,-71.323953,"NH","Carroll"
40.686028,-81.02187,"OH","Carroll"
36.077501,-88.495094,"TN","Carroll"
36.664788,-80.729669,"VA","Carroll"
35.276741,-101.232275,"TX","Carson"
39.154485,-119.73074,"NV","Carson City"
38.433912,-83.133597,"KY","Carter"
36.934404,-90.746313,"MO","Carter"
45.567085,-104.539066,"MT","Carter"
34.156627,-97.179214,"OK","Carter"
36.330784,-82.122892,"TN","Carter"
34.873922,-76.587097,"NC","Carteret"
44.723162,-93.701637,"MN","Carver"
47.402024,-111.422948,"MT","Cascade"
37.242524,-84.89986,"KY","Casey"
41.390677,-94.813882,"IA","Cass"
39.913938,-90.370736,"IL","Cass"
40.634254,-86.269625,"IN","Cass"
41.904174,-85.999067,"MI","Cass"
46.862332,-94.641872,"MN","Cass"
38.784041,-94.532397,"MO","Cass"
46.859694,-97.214587,"ND","Cass"
41.042487,-96.104359,"NE","Cass"
33.08447,-94.242023,"TX","Cass"
42.339326,-113.461324,"ID","Cassia"
34.530453,-102.262133,"TX","Castro"
36.466412,-79.275549,"NC","Caswell"
31.746835,-91.890463,"LA","Catahoula"
35.758221,-81.308224,"NC","Catawba"
34.980249,-85.140798,"GA","Catoosa"
33.913868,-108.649811,"NM","Catron"
42.408583,-78.984391,"NY","Cattaraugus"
48.77178,-98.464102,"ND","Cavalier"
42.894381,-76.565683,"NY","Cayuga"
39.535078,-75.894051,"MD","Cecil"
41.864242,-91.024771,"IA","Cedar"
37.865205,-94.012373,"MO","Cedar"
42.429295,-97.212986,"NE","Cedar"
40.813628,-78.238986,"PA","Centre"
43.116477,-93.270559,"IA","Cerro Gordo"
38.629119,-106.120582,"CO","Chaffee"
32.783137,-85.275581,"AL","Chambers"
29.662044,-94.592995,"TX","Chambers"
40.370897,-88.152546,"IL","Champaign"
40.161025,-83.648461,"OH","Champaign"
39.590245,-93.133852,"MO","Chariton"
38.603783,-76.867928,"MD","Charles"
37.354115,-77.073103,"VA","Charles City"
42.984707,-98.175204,"SD","Charles Mix"
32.780326,-79.940844,"SC","Charleston"
45.523425,-85.332038,"MI","Charlevoix"
26.901981,-82.000005,"FL","Charlotte"
37.087895,-78.637846,"VA","Charlotte"
38.026588,-78.48045,"VA","Charlottesville City"
30.855314,-82.027252,"GA","Charlton"
38.260042,-96.822766,"KS","Chase"
40.52473,-101.69724,"NE","Chase"
32.107103,-81.291335,"GA","Chatham"
35.608354,-79.372362,"NC","Chatham"
32.292547,-84.736706,"GA","Chattahoochee"
34.392073,-85.417428,"GA","Chattooga"
37.130234,-96.444127,"KS","Chautauqua"
42.487716,-79.328287,"NY","Chautauqua"
33.346666,-104.593687,"NM","Chaves"
36.297807,-87.083657,"TN","Cheatham"
45.753019,-84.691745,"MI","Cheboygan"
47.573816,-120.351884,"WA","Chelan"
42.156516,-76.93164,"NY","Chemung"
42.479801,-75.622857,"NY","Chenango"
34.359072,-85.611793,"AL","Cherokee"
34.30116,-84.442937,"GA","Cherokee"
42.719513,-95.534693,"IA","Cherokee"
37.139184,-94.789814,"KS","Cherokee"
35.219991,-83.785397,"NC","Cherokee"
35.8093,-95.076549,"OK","Cherokee"
35.00549,-81.63383,"SC","Cherokee"
31.873255,-95.228829,"TX","Cherokee"
42.542631,-101.126167,"NE","Cherry"
36.749991,-76.218759,"VA","Chesapeake City"
42.903656,-72.248052,"NH","Cheshire"
40.040057,-75.488793,"PA","Chester"
34.596281,-81.083171,"SC","Chester"
35.428488,-88.429204,"TN","Chester"
34.470238,-80.256814,"SC","Chesterfield"
37.454138,-77.66258,"VA","Chesterfield"
38.847485,-102.524932,"CO","Cheyenne"
39.750443,-101.532798,"KS","Cheyenne"
41.380172,-103.031435,"NE","Cheyenne"
43.13992,-92.424719,"IA","Chickasaw"
34.013571,-88.996107,"MS","Chickasaw"
33.470414,-91.394712,"AR","Chicot"
34.4104,-100.236376,"TX","Childress"
32.856632,-86.652875,"AL","Chilton"
46.278437,-84.196899,"MI","Chippewa"
44.992549,-95.36042,"MN","Chippewa"
45.042352,-91.408026,"WI","Chippewa"
45.513447,-92.894239,"MN","Chisago"
44.507404,-73.151384,"VT","Chittenden"
32.115939,-88.273598,"AL","Choctaw"
33.278252,-89.191298,"MS","Choctaw"
34.028048,-95.869986,"OK","Choctaw"
47.861021,-110.471075,"MT","Chouteau"
36.135621,-76.580107,"NC","Chowan"
39.37433,-89.198256,"IL","Christian"
37.043116,-87.487724,"KY","Christian"
37.046128,-93.405929,"MO","Christian"
39.479393,-118.296879,"NV","Churchill"
35.273985,-107.991394,"NM","Cibola"
36.742042,-102.510484,"OK","Cimarron"
28.867027,-82.572703,"FL","Citrus"
45.247636,-122.468991,"OR","Clackamas"
32.68552,-93.033603,"LA","Claiborne"
31.997408,-90.716602,"MS","Claiborne"
36.566257,-83.636479,"TN","Claiborne"
48.006094,-124.360572,"WA","Clallam"
43.976073,-84.739685,"MI","Clare"
33.685155,-80.190733,"SC","Clarendon"
40.98399,-79.615234,"PA","Clarion"
34.055486,-93.189406,"AR","Clark"
44.177432,-112.219898,"ID","Clark"
39.293482,-87.954456,"IL","Clark"
38.539899,-85.421753,"IN","Clark"
37.171946,-99.769576,"KS","Clark"
37.968496,-84.157766,"KY","Clark"
40.357643,-91.45886,"MO","Clark"
36.322484,-114.819717,"NV","Clark"
39.99914,-83.622204,"OH","Clark"
44.90626,-97.708049,"SD","Clark"
45.923556,-122.450194,"WA","Clark"
44.960186,-90.374893,"WI","Clark"
31.58842,-87.840875,"AL","Clarke"
33.992902,-83.353697,"GA","Clarke"
41.026682,-93.925695,"IA","Clarke"
32.14342,-88.819543,"MS","Clarke"
39.135711,-77.991926,"VA","Clarke"
45.810934,-123.962989,"OR","Clatsop"
33.116229,-86.138624,"AL","Clay"
36.379467,-90.538667,"AR","Clay"
30.105553,-81.768964,"FL","Clay"
31.557533,-84.854212,"GA","Clay"
43.004019,-95.299649,"IA","Clay"
38.757302,-88.473594,"IL","Clay"
39.415414,-87.065524,"IN","Clay"
39.349452,-97.164849,"KS","Clay"
37.147687,-83.737014,"KY","Clay"
46.890034,-96.506156,"MN","Clay"
39.332601,-94.274632,"MO","Clay"
33.659271,-88.753976,"MS","Clay"
35.025885,-83.878025,"NC","Clay"
40.524526,-98.051184,"NE","Clay"
42.827796,-96.847373,"SD","Clay"
36.547777,-85.512924,"TN","Clay"
